year,month,district,zone,value
2003,10,ARGANZUELA,ATOCHA,1148
2003,10,ARGANZUELA,PALOS DE MOGUER,28246
2003,10,ARGANZUELA,DELICIAS,25111
2003,10,ARGANZUELA,CHOPERA,22950
2003,10,ARGANZUELA,LEGAZPI,8711
2003,10,ARGANZUELA,IMPERIAL,22877
2003,10,ARGANZUELA,ACACIAS,37851
2003,11,ARGANZUELA,DELICIAS,25141
2003,11,ARGANZUELA,ACACIAS,37867
2003,11,ARGANZUELA,IMPERIAL,22898
2003,11,ARGANZUELA,LEGAZPI,8764
2003,11,ARGANZUELA,CHOPERA,22914
2003,11,ARGANZUELA,PALOS DE MOGUER,28228
2003,11,ARGANZUELA,ATOCHA,1149
2003,12,ARGANZUELA,CHOPERA,22920
2003,12,ARGANZUELA,ACACIAS,37886
2003,12,ARGANZUELA,IMPERIAL,22936
2003,12,ARGANZUELA,ATOCHA,1145
2003,12,ARGANZUELA,DELICIAS,25156
2003,12,ARGANZUELA,LEGAZPI,8839
2003,12,ARGANZUELA,PALOS DE MOGUER,28285
2004,1,ARGANZUELA,CHOPERA,22919
2004,1,ARGANZUELA,PALOS DE MOGUER,28377
2004,1,ARGANZUELA,LEGAZPI,8919
2004,1,ARGANZUELA,ACACIAS,37905
2004,1,ARGANZUELA,IMPERIAL,22931
2004,1,ARGANZUELA,ATOCHA,1150
2004,1,ARGANZUELA,DELICIAS,25236
2004,2,ARGANZUELA,DELICIAS,25123
2004,2,ARGANZUELA,CHOPERA,22800
2004,2,ARGANZUELA,ACACIAS,37836
2004,2,ARGANZUELA,ATOCHA,1150
2004,2,ARGANZUELA,PALOS DE MOGUER,28291
2004,2,ARGANZUELA,IMPERIAL,22888
2004,2,ARGANZUELA,LEGAZPI,8942
2004,3,ARGANZUELA,IMPERIAL,22933
2004,3,ARGANZUELA,LEGAZPI,8950
2004,3,ARGANZUELA,ATOCHA,1147
2004,3,ARGANZUELA,PALOS DE MOGUER,28307
2004,3,ARGANZUELA,CHOPERA,22804
2004,3,ARGANZUELA,ACACIAS,37871
2004,3,ARGANZUELA,DELICIAS,25119
2004,4,ARGANZUELA,ACACIAS,37811
2004,4,ARGANZUELA,DELICIAS,25137
2004,4,ARGANZUELA,PALOS DE MOGUER,28433
2004,4,ARGANZUELA,CHOPERA,22734
2004,4,ARGANZUELA,IMPERIAL,22952
2004,4,ARGANZUELA,LEGAZPI,9006
2004,4,ARGANZUELA,ATOCHA,1128
2004,5,ARGANZUELA,ACACIAS,37853
2004,5,ARGANZUELA,CHOPERA,22760
2004,5,ARGANZUELA,DELICIAS,25270
2004,5,ARGANZUELA,PALOS DE MOGUER,28799
2004,5,ARGANZUELA,IMPERIAL,23030
2004,5,ARGANZUELA,LEGAZPI,9070
2004,5,ARGANZUELA,ATOCHA,1128
2004,6,ARGANZUELA,LEGAZPI,9110
2004,6,ARGANZUELA,DELICIAS,25298
2004,6,ARGANZUELA,IMPERIAL,23038
2004,6,ARGANZUELA,ATOCHA,1136
2004,6,ARGANZUELA,CHOPERA,22721
2004,6,ARGANZUELA,ACACIAS,37893
2004,6,ARGANZUELA,PALOS DE MOGUER,28925
2004,7,ARGANZUELA,PALOS DE MOGUER,28929
2004,7,ARGANZUELA,IMPERIAL,22925
2004,7,ARGANZUELA,DELICIAS,25265
2004,7,ARGANZUELA,ACACIAS,37729
2004,7,ARGANZUELA,LEGAZPI,9136
2004,7,ARGANZUELA,CHOPERA,22678
2004,7,ARGANZUELA,ATOCHA,1129
2004,8,ARGANZUELA,ATOCHA,1145
2004,8,ARGANZUELA,LEGAZPI,9237
2004,8,ARGANZUELA,IMPERIAL,23013
2004,8,ARGANZUELA,PALOS DE MOGUER,29061
2004,8,ARGANZUELA,ACACIAS,37836
2004,8,ARGANZUELA,DELICIAS,25376
2004,8,ARGANZUELA,CHOPERA,22751
2004,9,ARGANZUELA,DELICIAS,25466
2004,9,ARGANZUELA,CHOPERA,22853
2004,9,ARGANZUELA,LEGAZPI,9291
2004,9,ARGANZUELA,ATOCHA,1145
2004,9,ARGANZUELA,PALOS DE MOGUER,29232
2004,9,ARGANZUELA,IMPERIAL,23100
2004,9,ARGANZUELA,ACACIAS,37934
2004,10,ARGANZUELA,ATOCHA,1154
2004,10,ARGANZUELA,CHOPERA,22674
2004,10,ARGANZUELA,IMPERIAL,23009
2004,10,ARGANZUELA,PALOS DE MOGUER,29086
2004,10,ARGANZUELA,DELICIAS,25412
2004,10,ARGANZUELA,ACACIAS,37816
2004,10,ARGANZUELA,LEGAZPI,9316
2004,11,ARGANZUELA,DELICIAS,25516
2004,11,ARGANZUELA,LEGAZPI,9357
2004,11,ARGANZUELA,ACACIAS,37919
2004,11,ARGANZUELA,PALOS DE MOGUER,29240
2004,11,ARGANZUELA,CHOPERA,22712
2004,11,ARGANZUELA,IMPERIAL,23083
2004,11,ARGANZUELA,ATOCHA,1155
2004,12,ARGANZUELA,LEGAZPI,9401
2004,12,ARGANZUELA,DELICIAS,25484
2004,12,ARGANZUELA,PALOS DE MOGUER,29234
2004,12,ARGANZUELA,IMPERIAL,23027
2004,12,ARGANZUELA,CHOPERA,22670
2004,12,ARGANZUELA,ATOCHA,1168
2004,12,ARGANZUELA,ACACIAS,37829
2005,1,ARGANZUELA,PALOS DE MOGUER,29371
2005,1,ARGANZUELA,LEGAZPI,9438
2005,1,ARGANZUELA,IMPERIAL,23059
2005,1,ARGANZUELA,DELICIAS,25544
2005,1,ARGANZUELA,ATOCHA,1168
2005,1,ARGANZUELA,ACACIAS,37880
2005,1,ARGANZUELA,CHOPERA,22676
2005,2,ARGANZUELA,PALOS DE MOGUER,29493
2005,2,ARGANZUELA,LEGAZPI,9504
2005,2,ARGANZUELA,DELICIAS,25658
2005,2,ARGANZUELA,ACACIAS,37995
2005,2,ARGANZUELA,CHOPERA,22755
2005,2,ARGANZUELA,IMPERIAL,23102
2005,2,ARGANZUELA,ATOCHA,1161
2005,3,ARGANZUELA,CHOPERA,22825
2005,3,ARGANZUELA,IMPERIAL,23104
2005,3,ARGANZUELA,DELICIAS,25742
2005,3,ARGANZUELA,LEGAZPI,9586
