year,month,district,zone,value
2007,1,ARGANZUELA,PALOS DE MOGUER,27874
2007,1,ARGANZUELA,IMPERIAL,23146
2007,1,ARGANZUELA,ATOCHA,1125
2007,1,ARGANZUELA,LEGAZPI,11972
2007,1,ARGANZUELA,ACACIAS,37901
2007,1,ARGANZUELA,DELICIAS,25929
2007,1,ARGANZUELA,CHOPERA,22004
2007,2,ARGANZUELA,IMPERIAL,23145
2007,2,ARGANZUELA,DELICIAS,26029
2007,2,ARGANZUELA,CHOPERA,22086
2007,2,ARGANZUELA,LEGAZPI,12133
2007,2,ARGANZUELA,ATOCHA,1125
2007,2,ARGANZUELA,ACACIAS,37962
2007,2,ARGANZUELA,PALOS DE MOGUER,27946
2007,3,ARGANZUELA,CHOPERA,21860
2007,3,ARGANZUELA,PALOS DE MOGUER,27642
2007,3,ARGANZUELA,DELICIAS,25781
2007,3,ARGANZUELA,ACACIAS,37706
2007,3,ARGANZUELA,ATOCHA,1105
2007,3,ARGANZUELA,LEGAZPI,12179
2007,3,ARGANZUELA,IMPERIAL,23002
2007,4,ARGANZUELA,CHOPERA,21886
2007,4,ARGANZUELA,IMPERIAL,23012
2007,4,ARGANZUELA,ATOCHA,1094
2007,4,ARGANZUELA,LEGAZPI,12342
2007,4,ARGANZUELA,ACACIAS,37707
2007,4,ARGANZUELA,PALOS DE MOGUER,27659
2007,4,ARGANZUELA,DELICIAS,25966
2007,5,ARGANZUELA,PALOS DE MOGUER,27746
2007,5,ARGANZUELA,ATOCHA,1092
2007,5,ARGANZUELA,DELICIAS,26142
2007,5,ARGANZUELA,ACACIAS,37761
2007,5,ARGANZUELA,LEGAZPI,12487
2007,5,ARGANZUELA,CHOPERA,21920
2007,5,ARGANZUELA,IMPERIAL,23057
2007,6,ARGANZUELA,IMPERIAL,23123
2007,6,ARGANZUELA,ACACIAS,37843
2007,6,ARGANZUELA,PALOS DE MOGUER,27857
2007,6,ARGANZUELA,CHOPERA,21952
2007,6,ARGANZUELA,ATOCHA,1091
2007,6,ARGANZUELA,LEGAZPI,12725
2007,6,ARGANZUELA,DELICIAS,26277
2007,7,ARGANZUELA,CHOPERA,22026
2007,7,ARGANZUELA,LEGAZPI,12920
2007,7,ARGANZUELA,IMPERIAL,23196
2007,7,ARGANZUELA,DELICIAS,26411
2007,7,ARGANZUELA,PALOS DE MOGUER,27942
2007,7,ARGANZUELA,ACACIAS,37922
2007,7,ARGANZUELA,ATOCHA,1091
2007,8,ARGANZUELA,ACACIAS,37946
2007,8,ARGANZUELA,LEGAZPI,13021
2007,8,ARGANZUELA,ATOCHA,1090
2007,8,ARGANZUELA,DELICIAS,26448
2007,8,ARGANZUELA,PALOS DE MOGUER,27965
2007,8,ARGANZUELA,IMPERIAL,23194
2007,8,ARGANZUELA,CHOPERA,22051
2007,9,ARGANZUELA,CHOPERA,22020
2007,9,ARGANZUELA,LEGAZPI,13261
2007,9,ARGANZUELA,DELICIAS,26561
2007,9,ARGANZUELA,IMPERIAL,23230
2007,9,ARGANZUELA,ATOCHA,1090
2007,9,ARGANZUELA,ACACIAS,38001
2007,9,ARGANZUELA,PALOS DE MOGUER,27999
2007,10,ARGANZUELA,ATOCHA,1094
2007,10,ARGANZUELA,ACACIAS,38118
2007,10,ARGANZUELA,PALOS DE MOGUER,28153
2007,10,ARGANZUELA,CHOPERA,22123
2007,10,ARGANZUELA,LEGAZPI,13363
2007,10,ARGANZUELA,DELICIAS,26682
2007,10,ARGANZUELA,IMPERIAL,23333
2007,11,ARGANZUELA,IMPERIAL,23433
2007,11,ARGANZUELA,PALOS DE MOGUER,28342
2007,11,ARGANZUELA,CHOPERA,22254
2007,11,ARGANZUELA,DELICIAS,26911
2007,11,ARGANZUELA,ACACIAS,38264
2007,11,ARGANZUELA,LEGAZPI,13566
2007,11,ARGANZUELA,ATOCHA,1098
2007,12,ARGANZUELA,CHOPERA,22116
2007,12,ARGANZUELA,ATOCHA,1102
2007,12,ARGANZUELA,IMPERIAL,23328
2007,12,ARGANZUELA,PALOS DE MOGUER,28211
2007,12,ARGANZUELA,LEGAZPI,13620
2007,12,ARGANZUELA,ACACIAS,38062
2007,12,ARGANZUELA,DELICIAS,26779
2007,1,BARAJAS,AEROPUERTO,2190
2007,1,BARAJAS,TIMON,7845
2007,1,BARAJAS,ALAMEDA DE OSUNA,20354
2007,1,BARAJAS,CORRALEJOS,5617
2007,1,BARAJAS,CASCO H.BARAJAS,7818
2007,2,BARAJAS,AEROPUERTO,2196
2007,2,BARAJAS,ALAMEDA DE OSUNA,20393
2007,2,BARAJAS,TIMON,7840
2007,2,BARAJAS,CASCO H.BARAJAS,7838
2007,2,BARAJAS,CORRALEJOS,5611
2007,3,BARAJAS,CORRALEJOS,5633
2007,3,BARAJAS,CASCO H.BARAJAS,7753
2007,3,BARAJAS,TIMON,7817
2007,3,BARAJAS,ALAMEDA DE OSUNA,20327
2007,3,BARAJAS,AEROPUERTO,2184
2007,4,BARAJAS,ALAMEDA DE OSUNA,20326
2007,4,BARAJAS,CORRALEJOS,5678
2007,4,BARAJAS,CASCO H.BARAJAS,7767
2007,4,BARAJAS,TIMON,7846
2007,4,BARAJAS,AEROPUERTO,2175
2007,5,BARAJAS,TIMON,7851
2007,5,BARAJAS,ALAMEDA DE OSUNA,20326
2007,5,BARAJAS,CORRALEJOS,5709
2007,5,BARAJAS,CASCO H.BARAJAS,7779
2007,5,BARAJAS,AEROPUERTO,2194
2007,6,BARAJAS,CORRALEJOS,5772
2007,6,BARAJAS,ALAMEDA DE OSUNA,20395
2007,6,BARAJAS,TIMON,7882
2007,6,BARAJAS,AEROPUERTO,2201
2007,6,BARAJAS,CASCO H.BARAJAS,7798
2007,7,BARAJAS,CORRALEJOS,5805
2007,7,BARAJAS,ALAMEDA DE OSUNA,20477
2007,7,BARAJAS,AEROPUERTO,2200
2007,7,BARAJAS,TIMON,7919
2007,7,BARAJAS,CASCO H.BARAJAS,7844
2007,8,BARAJAS,AEROPUERTO,2197
2007,8,BARAJAS,TIMON,7932
2007,8,BARAJAS,CASCO H.BARAJAS,7835
2007,8,BARAJAS,ALAMEDA DE OSUNA,20476
2007,8,BARAJAS,CORRALEJOS,5862
2007,9,BARAJAS,CASCO H.BARAJAS,7852
2007,9,BARAJAS,CORRALEJOS,5903
2007,9,BARAJAS,TIMON,7565
2007,9,BARAJAS,AEROPUERTO,2192
2007,9,BARAJAS,ALAMEDA DE OSUNA,20473
2007,10,BARAJAS,AEROPUERTO,2197
2007,10,BARAJAS,CORRALEJOS,5934
2007,10,BARAJAS,ALAMEDA DE OSUNA,20542
2007,10,BARAJAS,CASCO H.BARAJAS,7906
2007,10,BARAJAS,TIMON,7331
2007,11,BARAJAS,CORRALEJOS,5986
2007,11,BARAJAS,TIMON,7504
2007,11,BARAJAS,CASCO H.BARAJAS,7951
2007,11,BARAJAS,ALAMEDA DE OSUNA,20630
2007,11,BARAJAS,AEROPUERTO,2217
2007,12,BARAJAS,AEROPUERTO,2196
2007,12,BARAJAS,ALAMEDA DE OSUNA,20489
2007,12,BARAJAS,CASCO H.BARAJAS,7850
2007,12,BARAJAS,CORRALEJOS,5973
2007,12,BARAJAS,TIMON,7453
2007,1,CARABANCHEL,SAN ISIDRO,40210
2007,1,CARABANCHEL,OPAÑEL,33605
2007,1,CARABANCHEL,BUENAVISTA,36455
2007,1,CARABANCHEL,ABRANTES,30891
2007,1,CARABANCHEL,VISTA ALEGRE,48578
2007,1,CARABANCHEL,COMILLAS,24199
2007,1,CARABANCHEL,PUERTA BONITA,35401
2007,2,CARABANCHEL,ABRANTES,31030
2007,2,CARABANCHEL,OPAÑEL,33608
2007,2,CARABANCHEL,BUENAVISTA,36940
2007,2,CARABANCHEL,VISTA ALEGRE,48584
2007,2,CARABANCHEL,PUERTA BONITA,35446
2007,2,CARABANCHEL,COMILLAS,24242
2007,2,CARABANCHEL,SAN ISIDRO,40271
2007,3,CARABANCHEL,BUENAVISTA,37344
2007,3,CARABANCHEL,SAN ISIDRO,40008
2007,3,CARABANCHEL,ABRANTES,30883
2007,3,CARABANCHEL,VISTA ALEGRE,48260
2007,3,CARABANCHEL,OPAÑEL,33375
2007,3,CARABANCHEL,PUERTA BONITA,35274
2007,3,CARABANCHEL,COMILLAS,24024
2007,4,CARABANCHEL,BUENAVISTA,37517
2007,4,CARABANCHEL,ABRANTES,30861
2007,4,CARABANCHEL,PUERTA BONITA,35290
2007,4,CARABANCHEL,SAN ISIDRO,40021
2007,4,CARABANCHEL,OPAÑEL,33378
2007,4,CARABANCHEL,COMILLAS,24017
2007,4,CARABANCHEL,VISTA ALEGRE,48256
2007,5,CARABANCHEL,PUERTA BONITA,35445
2007,5,CARABANCHEL,ABRANTES,30905
2007,5,CARABANCHEL,SAN ISIDRO,40093
2007,5,CARABANCHEL,BUENAVISTA,37784
2007,5,CARABANCHEL,VISTA ALEGRE,48397
2007,5,CARABANCHEL,COMILLAS,24068
2007,5,CARABANCHEL,OPAÑEL,33528
2007,6,CARABANCHEL,OPAÑEL,33629
2007,6,CARABANCHEL,PUERTA BONITA,35597
2007,6,CARABANCHEL,VISTA ALEGRE,48503
2007,6,CARABANCHEL,ABRANTES,31017
2007,6,CARABANCHEL,BUENAVISTA,38229
2007,6,CARABANCHEL,SAN ISIDRO,40251
2007,6,CARABANCHEL,COMILLAS,24184
2007,7,CARABANCHEL,SAN ISIDRO,40370
2007,7,CARABANCHEL,ABRANTES,31199
2007,7,CARABANCHEL,PUERTA BONITA,35710
2007,7,CARABANCHEL,BUENAVISTA,38557
2007,7,CARABANCHEL,OPAÑEL,33750
2007,7,CARABANCHEL,COMILLAS,24295
2007,7,CARABANCHEL,VISTA ALEGRE,48736
2007,8,CARABANCHEL,VISTA ALEGRE,48714
2007,8,CARABANCHEL,COMILLAS,24311
2007,8,CARABANCHEL,ABRANTES,31167
2007,8,CARABANCHEL,OPAÑEL,33762
2007,8,CARABANCHEL,SAN ISIDRO,40410
2007,8,CARABANCHEL,BUENAVISTA,38814
2007,8,CARABANCHEL,PUERTA BONITA,35753
2007,9,CARABANCHEL,BUENAVISTA,39021
2007,9,CARABANCHEL,SAN ISIDRO,40444
2007,9,CARABANCHEL,PUERTA BONITA,35788
2007,9,CARABANCHEL,ABRANTES,31261
2007,9,CARABANCHEL,OPAÑEL,33719
2007,9,CARABANCHEL,VISTA ALEGRE,48738
2007,9,CARABANCHEL,COMILLAS,24307
2007,10,CARABANCHEL,ABRANTES,31414
2007,10,CARABANCHEL,VISTA ALEGRE,48969
2007,10,CARABANCHEL,PUERTA BONITA,36013
2007,10,CARABANCHEL,OPAÑEL,33893
2007,10,CARABANCHEL,SAN ISIDRO,40671
2007,10,CARABANCHEL,COMILLAS,24446
2007,10,CARABANCHEL,BUENAVISTA,39292
2007,11,CARABANCHEL,BUENAVISTA,39628
2007,11,CARABANCHEL,OPAÑEL,34093
2007,11,CARABANCHEL,PUERTA BONITA,36191
2007,11,CARABANCHEL,VISTA ALEGRE,49206
2007,11,CARABANCHEL,SAN ISIDRO,40877
2007,11,CARABANCHEL,ABRANTES,31546
2007,11,CARABANCHEL,COMILLAS,24563
2007,12,CARABANCHEL,PUERTA BONITA,35893
2007,12,CARABANCHEL,VISTA ALEGRE,48840
2007,12,CARABANCHEL,COMILLAS,24379
2007,12,CARABANCHEL,ABRANTES,31395
2007,12,CARABANCHEL,BUENAVISTA,39588
2007,12,CARABANCHEL,SAN ISIDRO,40514
2007,12,CARABANCHEL,OPAÑEL,33783
2007,1,CENTRO,EMBAJADORES,49355
2007,1,CENTRO,UNIVERSIDAD,33051
2007,1,CENTRO,PALACIO,23628
2007,1,CENTRO,JUSTICIA,16826
2007,1,CENTRO,SOL,8030
2007,1,CENTRO,CORTES,10818
2007,2,CENTRO,PALACIO,23625
2007,2,CENTRO,CORTES,10820
2007,2,CENTRO,UNIVERSIDAD,33050
2007,2,CENTRO,JUSTICIA,16825
2007,2,CENTRO,SOL,8062
2007,2,CENTRO,EMBAJADORES,49474
2007,3,CENTRO,PALACIO,23394
2007,3,CENTRO,CORTES,10688
2007,3,CENTRO,UNIVERSIDAD,32508
2007,3,CENTRO,SOL,7902
