year,month,district,zone,value
2010,1,ARGANZUELA,DELICIAS,27164
2010,1,ARGANZUELA,PALOS DE MOGUER,27849
2010,1,ARGANZUELA,IMPERIAL,23254
2010,1,ARGANZUELA,ACACIAS,38195
2010,1,ARGANZUELA,CHOPERA,21651
2010,1,ARGANZUELA,LEGAZPI,16003
2010,1,ARGANZUELA,ATOCHA,1006
2010,2,ARGANZUELA,IMPERIAL,23231
2010,2,ARGANZUELA,DELICIAS,27121
2010,2,ARGANZUELA,PALOS DE MOGUER,27802
2010,2,ARGANZUELA,ACACIAS,38183
2010,2,ARGANZUELA,CHOPERA,21583
2010,2,ARGANZUELA,LEGAZPI,16034
2010,2,ARGANZUELA,ATOCHA,1007
2010,3,ARGANZUELA,CHOPERA,21567
2010,3,ARGANZUELA,LEGAZPI,16088
2010,3,ARGANZUELA,PALOS DE MOGUER,27819
2010,3,ARGANZUELA,DELICIAS,27183
2010,3,ARGANZUELA,IMPERIAL,23259
2010,3,ARGANZUELA,ATOCHA,1004
2010,3,ARGANZUELA,ACACIAS,38191
2010,4,ARGANZUELA,CHOPERA,21571
2010,4,ARGANZUELA,IMPERIAL,23272
2010,4,ARGANZUELA,PALOS DE MOGUER,27775
2010,4,ARGANZUELA,DELICIAS,27328
2010,4,ARGANZUELA,ACACIAS,38212
2010,4,ARGANZUELA,ATOCHA,1007
2010,4,ARGANZUELA,LEGAZPI,16151
2010,5,ARGANZUELA,IMPERIAL,23281
2010,5,ARGANZUELA,LEGAZPI,16177
2010,5,ARGANZUELA,ACACIAS,38169
2010,5,ARGANZUELA,PALOS DE MOGUER,27740
2010,5,ARGANZUELA,ATOCHA,1005
2010,5,ARGANZUELA,DELICIAS,27363
2010,5,ARGANZUELA,CHOPERA,21496
2010,6,ARGANZUELA,DELICIAS,27378
2010,6,ARGANZUELA,ACACIAS,38144
2010,6,ARGANZUELA,ATOCHA,995
2010,6,ARGANZUELA,IMPERIAL,23266
2010,6,ARGANZUELA,PALOS DE MOGUER,27690
2010,6,ARGANZUELA,CHOPERA,21454
2010,6,ARGANZUELA,LEGAZPI,16169
2010,7,ARGANZUELA,DELICIAS,27365
