year;month;town_id;districtId;district;neighborhoodId;neighborhood;value
2004;1;79;2;ARGANZUELA;2006;PALOS DE MOGUER;28377
2004;1;79;2;ARGANZUELA;2007;ATOCHA;1150
2004;1;79;2;ARGANZUELA;2002;ACACIAS;37905
2004;1;79;2;ARGANZUELA;2005;DELICIAS;25236
2004;1;79;2;ARGANZUELA;2001;IMPERIAL;22931
2004;1;79;2;ARGANZUELA;2004;LEGAZPI;8919
2004;1;79;2;ARGANZUELA;2003;CHOPERA;22919
2004;2;79;2;ARGANZUELA;2003;CHOPERA;22800
2004;2;79;2;ARGANZUELA;2004;LEGAZPI;8942
2004;2;79;2;ARGANZUELA;2005;DELICIAS;25123
2004;2;79;2;ARGANZUELA;2002;ACACIAS;37836
2004;2;79;2;ARGANZUELA;2001;IMPERIAL;22888
2004;2;79;2;ARGANZUELA;2006;PALOS DE MOGUER;28291
2004;2;79;2;ARGANZUELA;2007;ATOCHA;1150
2004;3;79;2;ARGANZUELA;2005;DELICIAS;25119
2004;3;79;2;ARGANZUELA;2001;IMPERIAL;22933
2004;3;79;2;ARGANZUELA;2002;ACACIAS;37871
2004;3;79;2;ARGANZUELA;2007;ATOCHA;1147
2004;3;79;2;ARGANZUELA;2003;CHOPERA;22804
2004;3;79;2;ARGANZUELA;2006;PALOS DE MOGUER;28307
2004;3;79;2;ARGANZUELA;2004;LEGAZPI;8950
2004;4;79;2;ARGANZUELA;2005;DELICIAS;25137
2004;4;79;2;ARGANZUELA;2007;ATOCHA;1128
2004;4;79;2;ARGANZUELA;2004;LEGAZPI;9006
2004;4;79;2;ARGANZUELA;2002;ACACIAS;37811
2004;4;79;2;ARGANZUELA;2001;IMPERIAL;22952
2004;4;79;2;ARGANZUELA;2006;PALOS DE MOGUER;28433
2004;4;79;2;ARGANZUELA;2003;CHOPERA;22734
2004;5;79;2;ARGANZUELA;2007;ATOCHA;1128
2004;5;79;2;ARGANZUELA;2004;LEGAZPI;9070
2004;5;79;2;ARGANZUELA;2003;CHOPERA;22760
2004;5;79;2;ARGANZUELA;2001;IMPERIAL;23030
2004;5;79;2;ARGANZUELA;2006;PALOS DE MOGUER;28799
2004;5;79;2;ARGANZUELA;2005;DELICIAS;25270
2004;5;79;2;ARGANZUELA;2002;ACACIAS;37853
2004;6;79;2;ARGANZUELA;2007;ATOCHA;1136
2004;6;79;2;ARGANZUELA;2006;PALOS DE MOGUER;28925
2004;6;79;2;ARGANZUELA;2003;CHOPERA;22721
2004;6;79;2;ARGANZUELA;2001;IMPERIAL;23038
2004;6;79;2;ARGANZUELA;2002;ACACIAS;37893
2004;6;79;2;ARGANZUELA;2005;DELICIAS;25298
2004;6;79;2;ARGANZUELA;2004;LEGAZPI;9110
2004;7;79;2;ARGANZUELA;2005;DELICIAS;25265
2004;7;79;2;ARGANZUELA;2002;ACACIAS;37729
2004;7;79;2;ARGANZUELA;2007;ATOCHA;1129
2004;7;79;2;ARGANZUELA;2006;PALOS DE MOGUER;28929
2004;7;79;2;ARGANZUELA;2003;CHOPERA;22678
2004;7;79;2;ARGANZUELA;2004;LEGAZPI;9136
2004;7;79;2;ARGANZUELA;2001;IMPERIAL;22925
2004;8;79;2;ARGANZUELA;2004;LEGAZPI;9237
2004;8;79;2;ARGANZUELA;2003;CHOPERA;22751
2004;8;79;2;ARGANZUELA;2002;ACACIAS;37836
2004;8;79;2;ARGANZUELA;2006;PALOS DE MOGUER;29061
2004;8;79;2;ARGANZUELA;2005;DELICIAS;25376
2004;8;79;2;ARGANZUELA;2007;ATOCHA;1145
2004;8;79;2;ARGANZUELA;2001;IMPERIAL;23013
2004;9;79;2;ARGANZUELA;2003;CHOPERA;22853
2004;9;79;2;ARGANZUELA;2002;ACACIAS;37934
2004;9;79;2;ARGANZUELA;2001;IMPERIAL;23100
2004;9;79;2;ARGANZUELA;2007;ATOCHA;1145
2004;9;79;2;ARGANZUELA;2005;DELICIAS;25466
2004;9;79;2;ARGANZUELA;2004;LEGAZPI;9291
2004;9;79;2;ARGANZUELA;2006;PALOS DE MOGUER;29232
2004;10;79;2;ARGANZUELA;2001;IMPERIAL;23009
2004;10;79;2;ARGANZUELA;2005;DELICIAS;25412
2004;10;79;2;ARGANZUELA;2002;ACACIAS;37816
2004;10;79;2;ARGANZUELA;2007;ATOCHA;1154
2004;10;79;2;ARGANZUELA;2004;LEGAZPI;9316
2004;10;79;2;ARGANZUELA;2006;PALOS DE MOGUER;29086
2004;10;79;2;ARGANZUELA;2003;CHOPERA;22674
2004;11;79;2;ARGANZUELA;2006;PALOS DE MOGUER;29240
2004;11;79;2;ARGANZUELA;2004;LEGAZPI;9357
2004;11;79;2;ARGANZUELA;2001;IMPERIAL;23083
2004;11;79;2;ARGANZUELA;2007;ATOCHA;1155
2004;11;79;2;ARGANZUELA;2002;ACACIAS;37919
2004;11;79;2;ARGANZUELA;2003;CHOPERA;22712
2004;11;79;2;ARGANZUELA;2005;DELICIAS;25516
2004;12;79;2;ARGANZUELA;2007;ATOCHA;1168
2004;12;79;2;ARGANZUELA;2004;LEGAZPI;9401
2004;12;79;2;ARGANZUELA;2006;PALOS DE MOGUER;29234
2004;12;79;2;ARGANZUELA;2002;ACACIAS;37829
2004;12;79;2;ARGANZUELA;2001;IMPERIAL;23027
2004;12;79;2;ARGANZUELA;2003;CHOPERA;22670
2004;12;79;2;ARGANZUELA;2005;DELICIAS;25484
2004;1;79;21;BARAJAS;21003;CASCO H.BARAJAS;7772
2004;1;79;21;BARAJAS;21005;CORRALEJOS;4276
2004;1;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19802
2004;1;79;21;BARAJAS;21002;AEROPUERTO;2374
2004;1;79;21;BARAJAS;21004;TIMON;7325
2004;2;79;21;BARAJAS;21005;CORRALEJOS;4313
2004;2;79;21;BARAJAS;21004;TIMON;7296
2004;2;79;21;BARAJAS;21003;CASCO H.BARAJAS;7767
2004;2;79;21;BARAJAS;21002;AEROPUERTO;2354
2004;2;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19712
2004;3;79;21;BARAJAS;21003;CASCO H.BARAJAS;7782
2004;3;79;21;BARAJAS;21004;TIMON;7340
2004;3;79;21;BARAJAS;21005;CORRALEJOS;4327
2004;3;79;21;BARAJAS;21002;AEROPUERTO;2352
2004;3;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19785
2004;4;79;21;BARAJAS;21002;AEROPUERTO;2361
2004;4;79;21;BARAJAS;21005;CORRALEJOS;4387
2004;4;79;21;BARAJAS;21004;TIMON;7377
2004;4;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19820
2004;4;79;21;BARAJAS;21003;CASCO H.BARAJAS;7787
2004;5;79;21;BARAJAS;21005;CORRALEJOS;4440
2004;5;79;21;BARAJAS;21003;CASCO H.BARAJAS;7805
2004;5;79;21;BARAJAS;21002;AEROPUERTO;2356
2004;5;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19890
2004;5;79;21;BARAJAS;21004;TIMON;7412
2004;6;79;21;BARAJAS;21005;CORRALEJOS;4504
2004;6;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19953
2004;6;79;21;BARAJAS;21002;AEROPUERTO;2346
2004;6;79;21;BARAJAS;21004;TIMON;7444
2004;6;79;21;BARAJAS;21003;CASCO H.BARAJAS;7798
2004;7;79;21;BARAJAS;21004;TIMON;7435
2004;7;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19915
2004;7;79;21;BARAJAS;21005;CORRALEJOS;4531
2004;7;79;21;BARAJAS;21002;AEROPUERTO;2332
2004;7;79;21;BARAJAS;21003;CASCO H.BARAJAS;7767
2004;8;79;21;BARAJAS;21003;CASCO H.BARAJAS;7816
2004;8;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;19972
2004;8;79;21;BARAJAS;21005;CORRALEJOS;4577
2004;8;79;21;BARAJAS;21004;TIMON;7475
2004;8;79;21;BARAJAS;21002;AEROPUERTO;2352
2004;9;79;21;BARAJAS;21003;CASCO H.BARAJAS;7848
2004;9;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;20078
2004;9;79;21;BARAJAS;21004;TIMON;7540
2004;9;79;21;BARAJAS;21005;CORRALEJOS;4614
2004;9;79;21;BARAJAS;21002;AEROPUERTO;2352
2004;10;79;21;BARAJAS;21005;CORRALEJOS;4621
2004;10;79;21;BARAJAS;21002;AEROPUERTO;2326
2004;10;79;21;BARAJAS;21003;CASCO H.BARAJAS;7790
2004;10;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;20024
2004;10;79;21;BARAJAS;21004;TIMON;7515
2004;11;79;21;BARAJAS;21002;AEROPUERTO;2329
2004;11;79;21;BARAJAS;21003;CASCO H.BARAJAS;7823
2004;11;79;21;BARAJAS;21004;TIMON;7552
2004;11;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;20086
2004;11;79;21;BARAJAS;21005;CORRALEJOS;4654
2004;12;79;21;BARAJAS;21004;TIMON;7562
2004;12;79;21;BARAJAS;21001;ALAMEDA DE OSUNA;20102
2004;12;79;21;BARAJAS;21003;CASCO H.BARAJAS;7799
2004;12;79;21;BARAJAS;21005;CORRALEJOS;4701
2004;12;79;21;BARAJAS;21002;AEROPUERTO;2310
2004;1;79;11;CARABANCHEL;11004;VISTA ALEGRE;49124
2004;1;79;11;CARABANCHEL;11001;COMILLAS;25436
2004;1;79;11;CARABANCHEL;11005;PUERTA BONITA;34668
2004;1;79;11;CARABANCHEL;11006;BUENAVISTA;25898
2004;1;79;11;CARABANCHEL;11003;SAN ISIDRO;40468
2004;1;79;11;CARABANCHEL;11007;ABRANTES;29035
2004;1;79;11;CARABANCHEL;11002;OPAÑEL;34073
2004;2;79;11;CARABANCHEL;11004;VISTA ALEGRE;48970
2004;2;79;11;CARABANCHEL;11005;PUERTA BONITA;34593
2004;2;79;11;CARABANCHEL;11006;BUENAVISTA;25783
2004;2;79;11;CARABANCHEL;11003;SAN ISIDRO;40317
2004;2;79;11;CARABANCHEL;11007;ABRANTES;29060
2004;2;79;11;CARABANCHEL;11002;OPAÑEL;33884
2004;2;79;11;CARABANCHEL;11001;COMILLAS;25344
2004;3;79;11;CARABANCHEL;11005;PUERTA BONITA;34690
2004;3;79;11;CARABANCHEL;11006;BUENAVISTA;25847
2004;3;79;11;CARABANCHEL;11004;VISTA ALEGRE;49100
2004;3;79;11;CARABANCHEL;11002;OPAÑEL;33919
