provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;81;28102001_81_89;2021;2;1;5.9;V;6.6;V;5.6;V;5.3;V;5;V;3.4;V;2.7;V;5.3;V;6.1;V;5.7;V;5.8;V;6.4;V;6;V;6.6;V;5.6;V;6.7;V;6.3;V;5.1;V;4.3;V;3.7;V;4.1;V;4.2;V;6.1;V;4.5;V
28;102;1;82;28102001_82_89;2021;2;1;314;V;321;V;319;V;316;V;313;V;270;V;214;V;290;V;296;V;300;V;298;V;314;V;309;V;310;V;297;V;288;V;306;V;304;V;311;V;297;V;290;V;292;V;311;V;294;V
28;102;1;83;28102001_83_89;2021;2;1;9.8;V;9.7;V;9.7;V;9.2;V;8.7;V;8.2;V;8.2;V;8;V;9.2;V;11.1;V;13.1;V;14.9;V;16;V;16.3;V;15.8;V;15.5;V;13.5;V;11.7;V;10.2;V;9.5;V;9.1;V;8.7;V;8.8;V;8.8;V
28;102;1;86;28102001_86_89;2021;2;1;100;V;100;V;100;V;100;V;98;V;100;V;100;V;99;V;93;V;86;V;75;V;65;V;63;V;63;V;66;V;69;V;78;V;86;V;93;V;97;V;100;V;100;V;100;V;100;V
28;102;1;87;28102001_87_89;2021;2;1;920;V;920;V;920;V;920;V;920;V;920;V;921;V;921;V;922;V;923;V;923;V;923;V;923;V;923;V;923;V;923;V;923;V;924;V;924;V;925;V;925;V;925;V;925;V;925;V
28;102;1;88;28102001_88_89;2021;2;1;20;V;20;V;20;V;20;V;20;V;20;V;20;V;46;V;236;V;441;V;591;V;706;V;581;V;587;V;476;V;387;V;139;V;36;V;20;V;20;V;20;V;20;V;20;V;20;V
28;102;1;89;28102001_89_89;2021;2;1;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;120;1;81;28120001_81_89;2021;2;1;4.6;V;4;V;4.1;V;3.1;V;3.1;V;2.4;V;2.3;V;1.8;V;1.8;V;1.9;V;2;V;2.6;V;2.4;V;2.3;V;2.5;V;2.4;V;2.5;V;2.4;V;2.2;V;1.9;V;2.1;V;2;V;2.1;V;1.8;V
28;120;1;82;28120001_82_89;2021;2;1;201;V;201;V;212;V;205;V;214;V;209;V;206;V;206;V;196;V;193;V;183;V;204;V;185;V;171;V;180;V;178;V;180;V;186;V;173;V;173;V;188;V;154;V;199;V;204;V
28;120;1;83;28120001_83_89;2021;2;1;1.5;V;1.1;V;0.9;V;0.6;V;0.5;V;0.4;V;0.4;V;0.5;V;0.6;V;0.8;V;1.2;V;1.8;V;2.5;V;2.3;V;2.2;V;2;V;2;V;1.9;V;2.1;V;2.7;V;3.2;V;3.1;V;3.3;V;3.8;V
28;120;1;86;28120001_86_89;2021;2;1;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V;99;V
28;120;1;87;28120001_87_89;2021;2;1;806;V;807;V;807;V;808;V;808;V;808;V;809;V;809;V;810;V;810;V;811;V;811;V;811;V;811;V;811;V;812;V;811;V;811;V;812;V;812;V;813;V;813;V;813;V;813;V
28;120;1;88;28120001_88_89;2021;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;6;V;49;V;95;V;136;V;150;V;144;V;149;V;176;V;109;V;54;V;8;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;89;28120001_89_89;2021;2;1;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;123;2;81;28123002_81_89;2021;2;1;2.1;V;1.5;V;1;V;0.9;V;2.1;V;2.5;V;3.1;V;3.7;V;4.6;V;4.5;V;5.1;V;5.6;V;5.1;V;6.1;V;4.4;V;5.3;V;5.2;V;3.4;V;2.5;V;2.3;V;2;V;2.5;V;2.1;V;2.5;V
28;123;2;82;28123002_82_89;2021;2;1;228;V;211;V;188;V;203;V;214;V;235;V;236;V;238;V;238;V;222;V;223;V;250;V;241;V;221;V;234;V;203;V;233;V;217;V;210;V;212;V;175;V;215;V;224;V;231;V
28;123;2;83;28123002_83_89;2021;2;1;12.7;V;10.8;V;10.1;V;10;V;9.3;V;10;V;9.7;V;8.9;V;9.6;V;11.4;V;12.8;V;14.8;V;16.3;V;16.5;V;16.9;V;16.2;V;15.3;V;13.5;V;12.2;V;11.6;V;10.8;V;10.4;V;10.1;V;9.7;V
28;123;2;86;28123002_86_89;2021;2;1;73;V;88;V;92;V;90;V;89;V;81;V;79;V;85;V;85;V;78;V;74;V;65;V;61;V;62;V;60;V;65;V;68;V;74;V;78;V;80;V;84;V;86;V;87;V;88;V
28;123;2;87;28123002_87_89;2021;2;1;945;V;946;V;945;V;946;V;946;V;945;V;946;V;946;V;947;V;947;V;948;V;948;V;947;V;947;V;947;V;948;V;948;V;949;V;949;V;949;V;950;V;950;V;950;V;950;V
28;123;2;88;28123002_88_89;2021;2;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;8;V;81;V;242;V;385;V;485;V;479;V;504;V;385;V;454;V;172;V;22;V;1;V;1;V;1;V;1;V;1;V;1;V
28;123;2;89;28123002_89_89;2021;2;1;0;V;0;V;0;V;0;V;0.2;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;13;2;81;28013002_81_89;2021;2;1;2.3;V;2.3;V;2.4;V;1.9;V;2.2;V;1.6;V;1.7;V;2.4;V;2.8;V;3.3;V;3.6;V;3.4;V;3.9;V;4;V;4.3;V;4.6;V;3.6;V;2.7;V;2.9;V;2;V;2.5;V;1.9;V;1.3;V;1.7;V
28;13;2;82;28013002_82_89;2021;2;1;234;V;243;V;242;V;251;V;237;V;208;V;188;V;187;V;204;V;229;V;242;V;248;V;250;V;252;V;249;V;251;V;243;V;247;V;248;V;230;V;230;V;229;V;227;V;237;V
28;13;2;83;28013002_83_89;2021;2;1;11.9;V;11.6;V;11.1;V;10.7;V;10.3;V;9.8;V;9.8;V;9.9;V;10.5;V;11.4;V;12.6;V;13.9;V;14.6;V;15.2;V;15.1;V;14.6;V;14;V;13.1;V;12.1;V;11.7;V;11.3;V;10.8;V;10.3;V;10.2;V
28;13;2;86;28013002_86_89;2021;2;1;86;V;86;V;86;V;85;V;84;V;83;V;81;V;79;V;76;V;74;V;70;V;66;V;65;V;64;V;64;V;65;V;67;V;70;V;74;V;75;V;77;V;78;V;78;V;78;V
